name_of_city,state_code,state_name,population_total,population_male,population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,location,total_graduates,male_graduates,female_graduates
Nagaon ,18,ASSAM,116355,59021,57334,98068,52690,45378,971,1043,"26.3463713,92.6840426",15273,8798,6475
Nagapattinam ,33,TAMIL NADU,102838,50809,52029,81913,42374,39539,1024,930,"10.7656082,79.8423888",8469,4900,3569
Nagaur ,8,RAJASTHAN,100618,52220,48398,64028,37179,26849,927,876,"27.1991222,73.740924",7812,5384,2428
Nagda ,23,MADHYA PRADESH,100036,51410,48626,72618,40765,31853,946,893,"23.4454599,75.4169918",9844,5707,4137
Nagercoil ,33,TAMIL NADU,224329,110132,114197,195748,97545,98203,1037,983,"8.1832857,77.4118996",34342,17826,16516
Nagpur ,27,MAHARASHTRA,2405421,1226610,1178811,2018598,1060359,958239,961,921,"21.1458004,79.0881546",382282,201349,180933
Naihati ,19,WEST BENGAL,221762,112773,108989,183458,96626,86832,966,926,"22.8928724,88.4220324",23181,13877,9304
Nalgonda ,28,ANDHRA PRADESH,135163,67749,67414,105885,56100,49785,995,959,"17.0575707,79.2620294",26575,16916,9659
Nanded Waghala ,27,MAHARASHTRA,550564,286152,264412,421606,231449,190157,924,872,"19.1428869,77.303723",57736,38146,19590
Nandurbar ,27,MAHARASHTRA,111067,57543,53524,85635,46673,38962,930,838,"21.7468548,74.123996",11451,7441,4010
Nandyal ,28,ANDHRA PRADESH,200746,100770,99976,138525,75749,62776,992,920,"15.4785694,78.4830934",22411,14540,7871
Nangloi Jat ,7,NCT OF DELHI,205497,110068,95429,147805,85448,62357,867,858,"28.6841206,77.0632942",12692,7779,4913
Narasaraopet ,28,ANDHRA PRADESH,116329,58898,57431,84123,45796,38327,975,938,"16.2353506,80.0479039",13872,8984,4888
Nashik ,27,MAHARASHTRA,1486973,784995,701978,1198144,658585,539559,894,856,"19.9974533,73.7898023",204014,116855,87159
Navi Mumbai ,27,MAHARASHTRA,1119477,611501,507976,911542,519257,392285,831,901,"19.0330488,73.0296625",192624,107448,85176
Navi Mumbai Panvel Raigarh ,27,MAHARASHTRA,194999,107771,87228,153608,88833,64775,809,884,"18.9894007,73.1175162",22631,13561,9070
Navsari ,24,GUJARAT,160100,82925,77175,128822,69437,59385,931,869,"20.9467019,72.9520348",17425,9219,8206
Neemuch ,23,MADHYA PRADESH,128108,67322,60786,97156,54829,42327,903,914,"24.4763852,74.8624092",16428,9669,6759
Nellore ,28,ANDHRA PRADESH,505258,257043,248215,387192,205988,181204,966,937,"14.4425987,79.986456",67787,42377,25410
New Delhi ,7,NCT OF DELHI,249998,136438,113560,208352,118453,89899,832,869,"28.6139,77.2090",63573,35345,28228
Neyveli ,33,TAMIL NADU,105687,53442,52245,90114,47876,42238,978,898,"11.5432364,79.4760133",18507,9716,8791
Nizamabad ,28,ANDHRA PRADESH,310467,155163,155304,221829,119603,102226,1001,968,"18.6725047,78.0940867",34574,22062,12512
Noida ,9,UTTAR PRADESH,642381,352577,289804,495045,286216,208829,822,877,"28.5355161,77.3910265",143014,80692,62322
North Barrackpur ,19,WEST BENGAL,134825,68136,66689,119954,61810,58144,979,918,"22.7902358,88.367179",23047,13155,9892
North Dum Dum ,19,WEST BENGAL,253625,128620,125005,217371,112967,104404,972,949,"22.6658076,88.4258483",40842,24007,16835
Ongole ,28,ANDHRA PRADESH,202826,101728,101098,153888,82322,71566,994,935,"15.5057232,80.049922",32491,20610,11881
Orai ,9,UTTAR PRADESH,187185,99564,87621,139256,79478,59778,880,845,"26.00864,79.4478858",29393,18954,10439
Osmanabad ,27,MAHARASHTRA,112085,58098,53987,87041,47577,39464,929,858,"18.2069636,76.1783739",14303,9459,4844
Ozhukarai ,34,PUDUCHERRY,300028,148154,151874,244264,126663,117601,1025,959,"11.9475611,79.7793932",50682,28317,22365
Palakkad ,32,KERALA,131019,63833,67186,112479,56065,56414,1053,959,"10.7867303,76.6547932",16827,8436,8391
Palanpur ,24,GUJARAT,127125,66384,60741,97459,55139,42320,915,841,"24.174051,72.4330989",15127,9802,5325
Pali ,8,RAJASTHAN,229956,120008,109948,156858,92705,64153,916,880,"25.7710893,73.3234478",16234,10768,5466
Pallavaram ,33,TAMIL NADU,216308,108381,107927,182201,93828,88373,996,978,"12.9673484,80.1526888",50503,27872,22631
Palwal ,6,HARYANA,127931,67887,60044,90937,52028,38909,884,818,"28.1487362,77.3320262",15837,9276,6561
Panchkula ,6,HARYANA,210175,111622,98553,165235,90938,74297,883,839,"30.6942091,76.860565",62655,32821,29834
Panihati ,19,WEST BENGAL,383522,193333,190189,332924,171788,161136,984,959,"22.6983108,88.3991789",58667,34203,24464
Panipat ,6,HARYANA,294150,157302,136848,218023,122629,95394,870,843,"29.3909464,76.9635023",37873,19231,18642
Panvel ,27,MAHARASHTRA,180464,93135,87329,153138,80790,72348,938,901,"18.9894007,73.1175162",39613,20964,18649
Parbhani ,27,MAHARASHTRA,307191,157628,149563,225298,123760,101538,949,891,"19.2609958,76.776665",30035,19600,10435
Patan ,24,GUJARAT,125502,65628,59874,99129,55294,43835,912,865,"23.8493246,72.1266255",13430,8422,5008
Pathankot ,3,PUNJAB,148357,77833,70524,119483,64673,54810,906,802,"32.2643375,75.6421121",24038,11974,12064
Patiala ,3,PUNJAB,405164,215606,189558,316093,174291,141802,879,859,"30.3397809,76.3868797",86697,43389,43308
Patna ,10,BIHAR,1683200,894158,789042,1264523,694580,569943,882,864,"25.5940947,85.1375645",307603,199207,108396
Pilibhit ,9,UTTAR PRADESH,130428,68855,61573,88119,48060,40059,894,917,"28.6207939,79.8128649",17508,9986,7522
Pimpri Chinchwad ,27,MAHARASHTRA,1729359,945953,783406,1374986,784984,590002,828,861,"18.6297811,73.7997094",249581,141573,108008
Pithampur ,23,MADHYA PRADESH,126099,70577,55522,87417,54030,33387,787,880,"22.613252,75.6822899",5150,3657,1493
Porbandar ,24,GUJARAT,152136,78490,73646,119545,65171,54374,938,870,"21.6417069,69.6292654",9853,5671,4182
Port Blair ,35,ANDAMAN & NICOBAR ISLANDS,100608,53247,47361,81908,44908,37000,889,929,"11.6233774,92.7264828",12420,6717,5703
Proddatur ,28,ANDHRA PRADESH,162816,81368,81448,115011,63111,51900,1001,940,"14.7491864,78.5531577",18151,11844,6307
Puducherry ,34,PUDUCHERRY,241773,118205,123568,195861,100419,95442,1045,993,"11.9138598,79.8144722",37830,21086,16744
Pudukkottai ,33,TAMIL NADU,117215,58601,58614,98054,50798,47256,1000,950,"10.379663,78.8208454",15104,8275,6829
Pune ,27,MAHARASHTRA,3115431,1602137,1513294,2556743,1361257,1195486,945,896,"18.5204303,73.8567437",656508,349022,307486
Puri ,21,ORISSA,201026,104267,96759,164481,88504,75977,928,902,"19.8133822,85.8314655",27062,16978,10084
Purnia ,10,BIHAR,280547,148021,132526,178381,100735,77646,895,947,"25.7771391,87.4752551",28193,19787,8406
Puruliya ,19,WEST BENGAL,121436,62520,58916,90534,50276,40258,942,955,"23.3320779,86.365208",14793,9581,5212
Rae Bareli ,9,UTTAR PRADESH,191056,99844,91212,142863,78519,64344,914,908,"26.2345298,81.2408689",34959,20169,14790
Raichur ,29,KARNATAKA,232456,117408,115048,158452,86973,71479,980,955,"16.2120031,77.3439283",22445,14425,8020
Raiganj ,19,WEST BENGAL,183682,96589,87093,133215,72475,60740,902,943,"25.6185295,88.1255837",16788,10419,6369
Raigarh ,22,CHHATTISGARH,137097,70234,66863,105512,57679,47833,952,919,"21.8974003,83.3949632",20161,12214,7947
Raipur ,22,CHHATTISGARH,1010087,519286,490801,769593,420155,349438,945,929,"21.2513844,81.6296413",147194,84384,62810
Rajahmundry ,28,ANDHRA PRADESH,343903,169786,174117,264653,136288,128365,1026,972,"17.0005383,81.8040345",53604,32901,20703
Rajapalayam ,33,TAMIL NADU,130119,64624,65495,103172,54622,48550,1013,956,"9.4653377,77.5275463",11024,6514,4510
Rajarhat Gopalpur ,19,WEST BENGAL,404991,205560,199431,337188,175680,161508,970,964,"22.6321975,88.4540911",73182,42023,31159
Rajkot ,24,GUJARAT,1286995,675731,611264,1026040,559369,466671,905,828,"22.3038945,70.8021599",148048,78946,69102
Rajnandgaon ,22,CHHATTISGARH,163122,81873,81249,127042,68134,58908,992,943,"21.0971034,81.0302222",19640,11324,8316
Rajpur Sonarpur ,19,WEST BENGAL,423806,215983,207823,357154,188374,168780,962,952,"22.4490894,88.3914731",68707,40399,28308
Ramagundam ,28,ANDHRA PRADESH,229632,116920,112712,160646,89722,70924,964,897,"18.7595503,79.4816378",27209,17266,9943
Rampur ,9,UTTAR PRADESH,325248,169826,155422,174508,95157,79351,915,923,"25.4842209,82.5916032",30319,16005,14314
Ranchi ,20,JHARKHAND,1073440,559031,514409,841652,459317,382335,920,899,"23.3440997,85.309562",200849,120922,79927
Ranibennur ,29,KARNATAKA,106365,53933,52432,85298,43234,42064,972,934,"14.6113428,75.6382657",9747,6122,3625
Raniganj ,19,WEST BENGAL,128624,67150,61474,89293,50250,39043,915,912,"23.6290575,87.0923906",9719,6225,3494
Ratlam ,23,MADHYA PRADESH,264810,135007,129803,207742,111921,95821,961,922,"23.3341696,75.0376325",36589,20861,15728
Raurkela Industrial Township ,21,ORISSA,210412,109823,100589,164546,90631,73915,916,886,"22.1993143,84.8620054",22887,12544,10343
Raurkela Town ,21,ORISSA,273217,144949,128268,214744,119761,94983,885,899,"22.260423,84.8535844",38314,22541,15773
Rewa ,23,MADHYA PRADESH,235422,124634,110788,185291,103599,81692,889,846,"24.5372927,81.30418",41109,25406,15703
Rewari ,6,HARYANA,140864,74689,66175,110205,61933,48272,886,785,"28.1927631,76.6239423",22539,12960,9579
Rishra ,19,WEST BENGAL,124585,66767,57818,100581,56155,44426,866,900,"22.7244023,88.3287896",14585,9452,5133
Robertson Pet ,29,KARNATAKA,146428,72378,74050,119258,61304,57954,1023,1013,"12.9551189,78.2698622",13400,7030,6370
Rohtak ,6,HARYANA,373133,197754,175379,279509,155679,123830,887,793,"28.8955152,76.606611",65881,35890,29991
Roorkee ,5,UTTARAKHAND,118188,63508,54680,96674,53928,42746,861,830,"29.8542626,77.8880002",30594,16630,13964
Rudrapur ,5,UTTARAKHAND,140884,74276,66608,88700,51407,37293,897,907,"28.9875082,79.4141214",14678,8208,6470
S.A.S. Nagar ,3,PUNJAB,146104,76441,69663,123930,66100,57830,911,886,"30.6496486,76.7567368",57323,30110,27213
Sagar ,23,MADHYA PRADESH,273357,142655,130702,217632,119068,98564,916,924,"23.838805,78.7378068",39717,23428,16289
Saharanpur ,9,UTTAR PRADESH,703345,371858,331487,479218,265417,213801,891,882,"29.967079,77.5510172",80749,42772,37977
Saharsa ,10,BIHAR,155175,82589,72586,101425,58689,42736,879,918,"25.8834961,86.6006249",18307,13209,5098
Salem ,33,TAMIL NADU,831038,418337,412701,642662,341725,300937,987,955,"11.664325,78.1460142",93297,54325,38972
Sambalpur ,21,ORISSA,183383,94627,88756,141329,76545,64784,938,882,"21.4668716,83.9811665",26095,16194,9901
Sambhal ,9,UTTAR PRADESH,221334,116008,105326,92608,51382,41226,908,936,"28.5903614,78.5717631",10580,5780,4800
Sangli Miraj Kupwad ,27,MAHARASHTRA,502697,255270,247427,397395,212703,184692,969,872,"16.8541887,74.6049061",60752,34112,26640
Santipur ,19,WEST BENGAL,151774,77044,74730,113028,60420,52608,970,976,"23.2645399,88.4380966",7213,4725,2488
Sasaram ,10,BIHAR,147396,77687,69709,105378,58900,46478,897,900,"24.949036,84.0314295",18844,13181,5663
Satara ,27,MAHARASHTRA,120079,61075,59004,101320,53241,48079,966,890,"17.6804639,74.018261",22292,12269,10023
Satna ,23,MADHYA PRADESH,280248,147924,132324,214468,120464,94004,895,873,"24.6005075,80.8322428",37695,23396,14299
Sawai Madhopur ,8,RAJASTHAN,120998,63223,57775,85472,50438,35034,914,871,"26.0377772,76.3521514",13480,8980,4500
Secunderabad ,28,ANDHRA PRADESH,213698,111664,102034,170148,92956,77192,914,958,"17.4399295,78.4982741",42492,23836,18656
Sehore ,23,MADHYA PRADESH,108818,56284,52534,82066,44937,37129,933,907,"23.205012,77.0850781",13887,8074,5813
Seoni ,23,MADHYA PRADESH,102377,52354,50023,83832,44862,38970,955,905,"22.0868691,79.5434841",16335,9574,6761
Serampore ,19,WEST BENGAL,183339,94514,88825,153460,81592,71868,940,958,"22.748331,88.3385053",30060,17706,12354
Shahjahanpur ,9,UTTAR PRADESH,327975,173133,154842,200804,112011,88793,894,885,"27.8295801,79.8296743",33510,18302,15208
Shamli ,9,UTTAR PRADESH,107233,57236,49997,76650,43469,33181,874,798,"29.4507575,77.3152116",13343,7245,6098
Shikohabad ,9,UTTAR PRADESH,107300,57017,50283,77060,43030,34030,882,823,"27.1061756,78.5881674",15351,9119,6232
Shillong ,17,MEGHALAYA,143007,70028,72979,119313,59420,59893,1042,937,"25.5714,91.8848",25113,12466,12647
Shimla ,2,HIMACHAL PRADESH,169758,93364,76394,147799,82486,65313,818,890,"31.1048145,77.1734033",43353,23822,19531
Shimoga ,29,KARNATAKA,322428,161978,160450,255971,133191,122780,991,961,"13.9299299,75.568101",37463,21835,15628
Shivpuri ,23,MADHYA PRADESH,179972,95227,84745,124641,72107,52534,890,879,"25.4357869,77.665066",22320,13796,8524
Sikar ,8,RAJASTHAN,237579,123156,114423,158413,91403,67010,929,868,"27.6094,75.139911",20786,13799,6987
Silchar ,18,ASSAM,172709,86812,85897,144255,74082,70173,989,939,"24.8332708,92.7789054",22274,12716,9558
Siliguri ,19,WEST BENGAL,509709,261218,248491,394366,209792,184574,951,928,"26.7271012,88.3952861",65003,38470,26533
Singrauli ,23,MADHYA PRADESH,220295,117276,103019,147527,87870,59657,878,915,"24.1992101,82.6645469",18047,11646,6401
Sirsa ,6,HARYANA,183282,96806,86476,135435,75796,59639,893,806,"29.5335931,75.0177029",24453,13473,10980
Sitapur ,9,UTTAR PRADESH,177351,93410,83941,131995,72197,59798,899,877,"27.5325072,80.8986502",28003,15740,12263
Siwan ,10,BIHAR,134458,70670,63788,98898,56152,42746,903,868,"26.2196205,84.3566593",14545,9727,4818
Solapur ,27,MAHARASHTRA,951118,482194,468924,710180,390335,319845,972,909,"17.6599188,75.9063906",88638,54159,34479
Sonipat ,6,HARYANA,277053,147933,129120,215609,121821,93788,873,788,"28.9287735,77.091281",46858,25676,21182
South Dum Dum ,19,WEST BENGAL,410524,206558,203966,356092,183454,172638,987,959,"22.6059435,88.3967536",102942,57940,45002
Srikakulam ,28,ANDHRA PRADESH,126003,62583,63420,97904,52029,45875,1013,935,"18.4285005,84.0167423",21745,14125,7620
Srinagar ,1,JAMMU & KASHMIR,1192792,631916,560876,741441,428915,312526,888,869,"34.0836708,74.7972825",135783,75825,59958
Sujangarh ,8,RAJASTHAN,101528,52078,49450,64716,37914,26802,950,894,"27.7044756,74.4642861",5284,3664,1620
Sultan Pur Majra ,7,NCT OF DELHI,181624,95816,85808,125557,72458,53099,896,889,"28.6958531,77.0805496",7390,4719,2671
Sultanpur ,9,UTTAR PRADESH,107914,56674,51240,85656,46736,38920,904,886,"26.2647757,82.0727061",20475,12130,8345
Surat ,24,GUJARAT,4462002,2538243,1923759,3499228,2082588,1416640,758,813,"21.1702401,72.8310607",278795,160566,118229
Surendranagar Dudhrej ,24,GUJARAT,177827,92728,85099,135879,75906,59973,918,863,"22.7201319,71.649536",17558,10540,7018
Suryapet ,28,ANDHRA PRADESH,105250,52138,53112,81366,43143,38223,1019,947,"17.1353148,79.6333674",14203,9485,4718
Tadepalligudem ,28,ANDHRA PRADESH,103577,51176,52401,78557,40283,38274,1024,941,"16.8138415,81.521241",11527,7258,4269
Tadpatri ,28,ANDHRA PRADESH,108249,54027,54222,69948,39781,30167,1004,948,"14.9070274,78.0092703",8618,5762,2856
Tambaram ,33,TAMIL NADU,176807,90803,86004,150667,79383,71284,947,1019,"12.9229153,80.1274558",35148,19571,15577
Tenali ,28,ANDHRA PRADESH,164649,81324,83325,125275,64968,60307,1025,967,"16.2395313,80.6493396",22433,13780,8653
Thane ,27,MAHARASHTRA,1818872,966293,852579,1491552,817828,673724,882,900,"19.2183307,72.9780897",241148,129214,111934
Thanesar ,6,HARYANA,154962,83655,71307,119482,67646,51836,852,856,"29.9696148,76.8197522",32979,18192,14787
Thanjavur ,33,TAMIL NADU,222619,109291,113328,186643,94696,91947,1037,940,"10.7869994,79.1378274",33652,18483,15169
Thiruvananthapuram ,32,KERALA,752490,364657,387833,647479,316614,330865,1064,978,"8.5241391,76.9366376",151257,72759,78498
Thoothukkudi ,33,TAMIL NADU,237374,118039,119335,202105,102369,99736,1011,976,"8.7641661,78.1348361",31795,16516,15279
Thrissur ,32,KERALA,315596,151999,163597,282338,136694,145644,1076,950,"10.5276416,76.2144349",53535,24392,29143
Tiruchirappalli ,33,TAMIL NADU,846915,418128,428787,705492,359975,345517,1025,964,"10.7904833,78.7046725",123329,67987,55342
Tirunelveli ,33,TAMIL NADU,474838,234643,240195,391972,201509,190463,1024,954,"8.7139126,77.7566523",59397,33536,25861
Tirupati ,28,ANDHRA PRADESH,287035,145977,141058,229730,123449,106281,966,915,"13.6287557,79.4191795",55454,34588,20866
Tiruppur ,33,TAMIL NADU,444543,227469,217074,350206,189496,160710,954,957,"11.1085242,77.3410656",33358,18431,14927
Tiruvannamalai ,33,TAMIL NADU,144683,72351,72332,106256,55585,50671,1000,960,"12.2252841,79.0746957",16502,9655,6847
Tiruvottiyur ,33,TAMIL NADU,248059,124852,123207,197646,103197,94449,987,970,"13.1691914,80.3045793",25781,13493,12288
Titagarh ,19,WEST BENGAL,118426,63936,54490,87356,50566,36790,852,888,"22.7382665,88.3737064",5643,3898,1745
Tonk ,8,RAJASTHAN,165363,84927,80436,98819,57170,41649,947,883,"26.1620402,75.7894716",11776,7537,4239
Tumkur ,29,KARNATAKA,305821,155406,150415,237424,123904,113520,968,947,"13.3709627,76.6412712",42163,25617,16546
Udaipur ,8,RAJASTHAN,451735,234681,217054,366598,200051,166547,925,869,"24.585445,73.712479",92090,51475,40615
Udgir ,27,MAHARASHTRA,104063,54445,49618,78051,43518,34533,911,886,"18.3942882,77.1126009",9924,6900,3024
Udupi ,29,KARNATAKA,125350,62031,63319,108041,54690,53351,1021,917,"13.3408807,74.7421427",22444,11795,10649
Ujjain ,23,MADHYA PRADESH,515215,265291,249924,391470,214481,176989,942,921,"23.1793013,75.7849097",72743,41616,31127
Ulhasnagar ,27,MAHARASHTRA,506937,270373,236564,408959,227975,180984,875,903,"19.2215115,73.1644628",43561,23087,20474
Uluberia ,19,WEST BENGAL,222175,114144,108031,159826,86210,73616,946,939,"22.4744363,88.1000377",11384,7234,4150
Unnao ,9,UTTAR PRADESH,178681,94080,84601,134018,73411,60607,899,870,"26.5393449,80.4878195",27220,15670,11550
Uttarpara Kotrung ,19,WEST BENGAL,162386,82815,79571,137869,71976,65893,961,916,"22.6768451,88.3385053",35773,20981,14792
Vadodara ,24,GUJARAT,1666703,866701,800002,1394952,747280,647672,923,856,"22.3071588,73.1812187",279959,153236,126723
Valsad ,24,GUJARAT,114987,58958,56029,97687,51447,46240,950,877,"20.5992349,72.9342451",18980,10382,8598
Varanasi ,9,UTTAR PRADESH,1201815,636860,564955,859379,477807,381572,887,879,"25.3176452,82.9739144",172622,101440,71182
Vasai Virar City ,27,MAHARASHTRA,1221233,649535,571698,987916,548138,439778,880,915,"19.3919275,72.8397317",129954,70016,59938
Vellore ,33,TAMIL NADU,185895,91464,94431,145192,75321,69871,1032,973,"12.9165167,79.1324986",15592,8912,6680
Veraval ,24,GUJARAT,153696,78161,75535,106540,59874,46666,966,900,"20.9158979,70.3628516",10089,6246,3843
Vidisha ,23,MADHYA PRADESH,155959,81424,74535,118678,65802,52876,915,913,"23.5251102,77.8081363",22023,13177,8846
Vijayawada ,28,ANDHRA PRADESH,1048240,524918,523322,789038,411677,377361,997,951,"16.5061743,80.6480153",135425,81146,54279
Visakhapatnam,28,ANDHRA PRADESH,1730320,875199,855121,1298896,698959,599937,977,959,"17.6868,83.2185",250549,148824,101725
Vizianagaram ,28,ANDHRA PRADESH,227533,111596,115937,169461,89155,80306,1039,952,"18.1066576,83.3955506",30656,19173,11483
Warangal ,28,ANDHRA PRADESH,620116,310400,309716,475247,258111,217136,998,948,"17.9689008,79.5940544",109613,69507,40106
Wardha ,27,MAHARASHTRA,105543,53241,52302,90091,46752,43339,982,898,"20.745319,78.6021946",19363,10645,8718
Yamunanagar ,6,HARYANA,216628,115404,101224,166419,92164,74255,877,824,"30.1290485,77.2673901",29803,14349,15454
Yavatmal ,27,MAHARASHTRA,116714,58717,57997,96980,50419,46561,988,880,"20.3887937,78.1204073",13511,7397,6114
